pseudo_uprn,epc,glazing,tenure,property_type
850C859698,1,,,Flat
E8B1D0DAB0,1,Double/triple glazed,Rented,House
4170A19BF4,1,Double/triple glazed,,
2F633C7EF4,1,Double/triple glazed,,
DC1AD41F88,1,Double/triple glazed,Rented,Flat
80DDBF9699,1,Double/triple glazed,,
DC401230E0,1,Double/triple glazed,,House
6707251C47,1,Double/triple glazed,Rented,Maisonette
ECC83D19F1,1,Double/triple glazed,,Flat
EC078ED1FA,1,Double/triple glazed,,
9DD51DDBB8,1,Double/triple glazed,Rented,Flat
1A66401266,1,Double/triple glazed,Rented,Flat
C7CEC2BFBB,1,,Rented,House
C33E543B70,1,Double/triple glazed,,
A07C89BAC0,1,Double/triple glazed,Rented,Flat
0442E4C421,1,Double/triple glazed,,
18C89BD355,1,Double/triple glazed,Rented,Flat
F7C615D487,1,Double/triple glazed,,Flat
854F9614BF,1,Double/triple glazed,,
CB22A86191,1,Double/triple glazed,,
B3C1DB1D46,1,Double/triple glazed,,
E1B667F773,1,Double/triple glazed,,
7FC9AACA96,1,Double/triple glazed,Rented,House
987107D4FC,1,Double/triple glazed,,
85230E9AF5,1,Double/triple glazed,Rented,Flat
ED4CF2A1C0,1,Double/triple glazed,Owner-occupied,House
89640098F7,1,Double/triple glazed,Rented,House
DCC644D393,1,Double/triple glazed,,
176770DE03,1,Double/triple glazed,,Flat
2CCA132EEC,1,Double/triple glazed,Rented,Flat
2DD389C228,1,,Rented,Flat
BF4A2A6307,1,Double/triple glazed,Rented,House
32C00A3DF5,1,Double/triple glazed,,Maisonette
EDF7AFDD41,1,Double/triple glazed,Rented,Flat
C38F7BE553,1,,Rented,Maisonette
CE9768641B,1,Double/triple glazed,,House
56450B89BB,1,,Rented,Flat
F58C60FACA,1,Double/triple glazed,,
BB8A34E8D3,1,Double/triple glazed,,
75703BE7B8,1,Double/triple glazed,Owner-occupied,House
2EED15FC05,1,Double/triple glazed,Rented,Maisonette
B250A4BF30,1,Double/triple glazed,Rented,Flat
CF0B53D2E5,1,Double/triple glazed,,
48C9E9FDA3,1,Double/triple glazed,,
073EDF32CF,1,,Rented,Flat
689B0EF8AF,1,Double/triple glazed,,
BC6818570D,1,Double/triple glazed,Rented,Maisonette
6E43138B15,1,Double/triple glazed,Rented,House
75AAA92508,1,Double/triple glazed,Rented,Flat
FB2DB6BC0D,1,Double/triple glazed,Rented,House
3A7020BADE,1,Double/triple glazed,Rented,Maisonette
FDD2570E32,1,Double/triple glazed,,House
A6C9D47617,1,Double/triple glazed,,Maisonette
B86EC1DBEC,1,Double/triple glazed,,
34CE7A847B,1,Double/triple glazed,,
2FC55860D7,1,Double/triple glazed,,
1751D6DF41,1,Double/triple glazed,,
0934E489E5,1,Double/triple glazed,Rented,Flat
A9A36F28F5,1,Double/triple glazed,Rented,Maisonette
5804B0C2FA,1,Double/triple glazed,Rented,Flat
2D96A50252,1,Double/triple glazed,Owner-occupied,Flat
7E11135C08,1,Double/triple glazed,,
5EB51DD4A5,1,Double/triple glazed,Rented,Flat
D12EBE0C01,1,Double/triple glazed,Rented,Maisonette
FDC0A7620D,1,Double/triple glazed,Rented,Flat
536FC89570,1,Double/triple glazed,Owner-occupied,Maisonette
64A082A252,1,Double/triple glazed,,
4533378FF9,1,,Rented,House
D88D73A7C4,1,Double/triple glazed,,
D6C7EC1753,1,Double/triple glazed,Rented,Flat
98E5294641,1,Double/triple glazed,,
47685205EA,1,Double/triple glazed,Rented,House
FE37AE3ADC,1,Double/triple glazed,,Flat
8B8AA2078B,1,Double/triple glazed,Rented,House
EE631A518E,1,Double/triple glazed,Rented,House
7E0C5628C3,1,Double/triple glazed,Rented,Flat
37E72EEF93,1,Double/triple glazed,Rented,Flat
E1579EF689,1,Double/triple glazed,Rented,Flat
B6BE7F9560,1,Double/triple glazed,,
14FEDA6186,1,,,
72DE0E9FEE,1,Double/triple glazed,Rented,Flat
F0D1C419AC,1,Double/triple glazed,Owner-occupied,House
8398F84E29,1,Double/triple glazed,Rented,House
913FE9B14C,1,Double/triple glazed,Owner-occupied,House
