imd,lsoa,imd_quintile
1,E01003609,2
1,E01004260,Most deprived
1,E01004418,2
1,E01003601,Most deprived
1,E01001836,2
1,E01004348,2
1,E01003562,2
1,E01004221,2
1,E01004451,3
1,E01001828,Most deprived
1,E01004423,Most deprived
1,E01003568,2
1,E01003626,2
1,E01004298,Most deprived
1,E01004257,Most deprived
1,E01001800,Most deprived
1,E01001842,Most deprived
1,E01001714,Most deprived
1,E01004419,2
1,E01004463,3
1,E01004289,Most deprived
1,E01001841,2
1,E01003606,2
1,E01003525,2
1,E01004413,Most deprived
1,E01004346,3
1,E01001716,Most deprived
1,E01004263,Most deprived
1,E01003543,2
1,E01001785,Most deprived
1,E01003635,2
1,E01004435,Most deprived
1,E01001758,Most deprived
1,E01004323,Most deprived
1,E01003551,Most deprived
1,E01000066,2
1,E01004217,2
1,E01004230,Most deprived
1,E01001731,Most deprived
1,E01001792,Most deprived
1,E01003542,Most deprived
1,E01001790,Most deprived
1,E01004245,Most deprived
1,E01001783,Most deprived
1,E01001835,2
1,E01033585,Most deprived
1,E01003637,2
1,E01003521,2
1,E01004430,2
1,E01003532,2
1,E01004271,Most deprived
1,E01000088,2
1,E01003481,2
1,E01001822,Most deprived
1,E01004365,Most deprived
1,E01004412,2
1,E01003607,Most deprived
1,E01004235,Most deprived
1,E01004251,Most deprived
1,E01004261,2
1,E01004229,2
1,E01004410,Most deprived
1,E01003526,2
1,E01004405,Most deprived
1,E01003633,Most deprived
1,E01003482,2
1,E01001788,Most deprived
1,E01001744,Most deprived
1,E01001753,Most deprived
1,E01003480,3
1,E01004390,Most deprived
1,E01004425,2
1,E01001843,Most deprived
1,E01001738,2
1,E01004471,Most deprived
1,E01003537,2
1,E01004262,2
1,E01003571,2
1,E01003494,2
1,E01003566,Most deprived
1,E01004399,Most deprived
1,E01001786,Most deprived
1,E01004378,2
1,E01001746,Most deprived
1,E01003553,Most deprived
1,E01003492,2
1,E01003547,3
1,E01004314,2
1,E01003550,2
1,E01032780,3
1,E01003538,Most deprived
1,E01003611,Most deprived
1,E01004355,2
1,E01003536,2
1,E01003527,2
1,E01003548,2
1,E01003570,2
1,E01004442,3
1,E01004246,Most deprived
1,E01001793,2
1,E01004334,Most deprived
1,E01004238,Most deprived
1,E01004273,Most deprived
1,E01004461,3
1,E01001772,Most deprived
1,E01003561,2
1,E01004241,Most deprived
1,E01004364,Most deprived
1,E01003584,2
1,E01004357,2
1,E01033710,2
1,E01003734,2
1,E01003578,Most deprived
1,E01003557,Most deprived
1,E01003585,2
1,E01003519,2
1,E01004380,2
1,E01003794,4
1,E01004280,2
1,E01004287,Most deprived
1,E01003569,2
1,E01033701,Most deprived
1,E01004404,Most deprived
1,E01004326,Most deprived
1,E01004351,3
1,E01004350,2
1,E01001724,2
1,E01004458,2
1,E01001732,Most deprived
1,E01003591,Most deprived
1,E01002328,4
1,E01003479,Most deprived
1,E01001763,2
1,E01004215,2
1,E01016974,2
1,E01003560,2
1,E01003524,2
1,E01003512,Most deprived
1,E01004454,2
1,E01004304,Most deprived
1,E01001759,2
1,E01004225,3
1,E01001781,Most deprived
1,E01004327,Most deprived
1,E01003495,3
1,E01004222,Most deprived
1,E01003546,Most deprived
1,E01003520,2
1,E01004269,Most deprived
1,E01003586,2
1,E01033584,Most deprived
1,E01001813,Most deprived
1,E01004371,2
1,E01004197,Most deprived
1,E01001834,2
1,E01004244,Most deprived
1,E01003509,Most deprived
1,E01004447,2
1,E01004329,2
1,E01001777,Most deprived
1,E01001805,2
1,E01032784,2
1,E01003651,4
1,E01004406,2
1,E01001728,2
1,E01003486,Most deprived
1,E01001840,Most deprived
1,E01001720,3
1,E01003593,Most deprived
1,E01004256,Most deprived
1,E01004200,2
1,E01001739,2
1,E01003498,Most deprived
1,E01001827,Most deprived
1,E01004252,Most deprived
1,E01001761,Most deprived
1,E01033581,Most deprived
1,E01003715,2
1,E01001742,2
1,E01004284,Most deprived
1,E01004290,Most deprived
1,E01003529,2
1,E01003615,2
1,E01001760,Most deprived
1,E01004312,Most deprived
1,E01004204,Most deprived
1,E01003490,Most deprived
1,E01004427,2
1,E01033583,2
1,E01004272,Most deprived
1,E01003499,Most deprived
1,E01003595,Most deprived
1,E01003485,2
1,E01003603,2
1,E01004344,2
1,E01003625,2
1,E01003596,2
1,E01004333,2
1,E01004214,Most deprived
1,E01001730,Most deprived
1,E01004276,Least deprived
1,E01004446,2
1,E01032776,4
1,E01004234,2
1,E01004470,Most deprived
1,E01001845,Most deprived
1,E01004228,2
1,E01003497,Most deprived
1,E01001737,3
1,E01004408,2
1,E01004218,3
1,E01004420,Most deprived
1,E01004205,Most deprived
1,E01001729,Most deprived
1,E01004212,2
1,E01003489,Most deprived
1,E01003518,2
1,E01004224,Most deprived
1,E01003565,2
1,E01001821,Most deprived
1,E01004209,Most deprived
1,E01003530,2
1,E01004401,2
1,E01003535,Most deprived
1,E01000044,2
1,E01004318,Most deprived
1,E01003554,2
1,E01032766,2
1,E01033709,2
1,E01032786,2
1,E01001745,Most deprived
1,E01003523,Most deprived
1,E01003728,2
1,E01001773,Most deprived
1,E01004469,Most deprived
1,E01032773,2
1,E01003589,2
1,E01004377,3
1,E01004249,Most deprived
1,E01004714,3
1,E01004211,Most deprived
1,E01004331,2
1,E01004438,2
1,E01004310,Most deprived
1,E01003559,2
1,E01020404,Least deprived
1,E01003491,2
1,E01004449,Most deprived
1,E01003503,Most deprived
1,E01004297,4
1,E01004250,Most deprived
1,E01003600,Most deprived
1,E01000057,Most deprived
1,E01032772,Most deprived
1,E01003582,Most deprived
1,E01003574,2
1,E01003599,Most deprived
1,E01004233,Most deprived
1,E01004468,2
1,E01001848,Most deprived
1,E01003517,Most deprived
1,E01004240,Most deprived
1,E01004264,Most deprived
1,E01001791,Most deprived
1,E01004434,Most deprived
1,E01003573,2
1,E01003558,Most deprived
1,E01004457,2
1,E01032770,3
1,E01003622,Most deprived
1,E01004341,Most deprived
1,E01032765,Most deprived
1,E01003501,Most deprived
1,E01004324,Most deprived
1,E01004242,Most deprived
1,E01004286,Most deprived
1,E01004417,2
1,E01004337,2
1,E01003539,2
1,E01001819,2
1,E01004456,Most deprived
1,E01003733,2
1,E01004311,Most deprived
1,E01004432,2
1,E01003630,2
1,E01004308,Most deprived
1,E01003483,Most deprived
1,E01003507,Most deprived
1,E01004367,2
1,E01002002,Most deprived
1,E01003556,Most deprived
1,E01004416,2
1,E01001757,Most deprived
1,E01003588,2
1,E01003484,3
1,E01004270,2
1,E01001838,Most deprived
1,E01004400,Most deprived
1,E01003488,Most deprived
1,E01004325,2
1,E01001798,Most deprived
1,E01004231,Most deprived
1,E01001832,2
1,E01004254,2
1,E01003487,Most deprived
1,E01003508,Most deprived
1,E01004385,Most deprived
1,E01004388,2
1,E01004436,Most deprived
1,E01004302,Most deprived
1,E01002716,Most deprived
1,E01003694,3
1,E01004203,2
1,E01032764,2
1,E01003636,Most deprived
1,E01004466,3
1,E01001806,2
1,E01004356,2
1,E01003563,2
1,E01004448,2
1,E01004353,3
1,E01003711,3
1,E01003608,2
1,E01003493,2
1,E01001784,2
1,E01033576,2
1,E01004422,2
1,E01001846,Most deprived
1,E01033580,4
1,E01004397,2
1,E01004444,Most deprived
1,E01001767,Most deprived
1,E01001847,Most deprived
1,E01003750,3
1,E01004239,Most deprived
1,E01003623,Most deprived
1,E01003605,2
1,E01003587,2
1,E01033153,Most deprived
1,E01001770,Most deprived
1,E01003541,2
1,E01001820,Most deprived
1,E01032774,2
1,E01003528,Most deprived
1,E01003621,2
1,E01001796,Most deprived
1,E01002322,4
1,E01004332,Most deprived
1,E01004267,Most deprived
1,E01004467,Most deprived
1,E01004330,2
1,E01004301,Most deprived
1,E01000007,Most deprived
1,E01003604,Most deprived
1,E01003506,Most deprived
1,E01033702,Most deprived
1,E01004295,Most deprived
1,E01004306,Most deprived
1,E01004383,3
1,E01004223,Most deprived
1,E01004373,2
1,E01004421,2
1,E01004464,Most deprived
1,E01001769,2
1,E01004316,Most deprived
1,E01001825,2
1,E01004362,2
1,E01001804,2
1,E01001815,Most deprived
1,E01001811,Most deprived
1,E01004305,Most deprived
1,E01000046,2
1,E01001719,Most deprived
1,E01004296,Most deprived
1,E01004382,Most deprived
1,E01004281,4
1,E01004232,2
1,E01001733,2
1,E01004216,3
1,E01001837,3
1,E01004366,2
1,E01004285,Most deprived
